service_name,official_site_url,logo_image_url,logo_source_page_url,logo_source_type,logo_detection_method,logo_alt_or_context,concept_exact_text,concept_summary_ja,continuity_keywords,evidence_urls,checked_at,status
FIT365,https://fit365.jp/,https://fit365.jp/assets/img/common/logo.png,https://fit365.jp/,header,header_img,FIT365フィットネスジム,365日、毎日使いたい放題、今までにない価格帯でフィットネスをお楽しみください,365日年中無休で月額2980円という低価格帯で本格的なフィットネス施設をいつでも利用できるジムサービス。家族会員サービスにより1名につき家族3名まで無料登録可能。,365日|年中無休|低価格|使い放題|家族会員|フィットネスジム,https://fit365.jp/|https://fit365.jp/menu/|https://fit365.jp/assets/img/common/logo.png,2026-03-24,採用
minefit,https://minefit.jp/,https://minefit.jp/assets/svg/logo-minefit.svg,https://minefit.jp/,header,header_img,context unavailable（SVGのtitle/alt属性なし、ファイル名logo-minefitより確認）,"minefit appは、JOYFIT®やFIT365の運営を通じてフィットネスの楽しさを広げてきたヤマウチがお届けする、オンライン・トレーニングサービスです。コアトレーニングからヨガレッスンまで、長年のノウハウが詰め込まれた多彩なライブレッスンを展開。",JOYFIT・FIT365を運営するヤマウチが提供するオンライントレーニングアプリ。月額580円でコアトレーニングからヨガまで多彩なライブレッスンと動画ライブラリーが使い放題。,オンライン|ライブレッスン|月額580円|ヨガ|コアトレーニング|いつでもどこでも,https://minefit.jp/|https://minefit.jp/assets/svg/logo-minefit.svg|https://apps.apple.com/jp/app/minefit/id1521495780,2026-03-24,採用
LEAN BODY,https://lp.lean-body.jp/,https://lp.lean-body.jp/images/logo.png,https://lp.lean-body.jp/,header,header_img,LEAN BODY,運動も食事管理も楽しいから続く!,日本最大級のオンラインフィットネス。1000本以上のオリジナルレッスン動画・LIVE配信と食事記録機能を組み合わせ運動と食事管理を楽しみながら継続できるサービス。,楽しいから続く|食事管理|オンラインフィットネス|日本最大級|ライブ配信|1000本以上,https://lp.lean-body.jp/|https://lp.lean-body.jp/images/logo.png,2026-03-24,採用
SOELU,https://www.soelu.com/,https://www.soelu.com/img/common/logo.png,https://www.soelu.com/,header,header_img,context unavailable（WebFetchでheader内imgとして確認、alt属性は未取得）,国内最大級のオンラインヨガ・フィットネスSOELU（ソエル）,国内最大級のオンラインヨガ・フィットネスサービス。毎日朝5時〜深夜まで1日約200クラス以上を開講しインストラクターと双方向でつながるライブレッスンを中心に100種類以上のプログラムを提供。,国内最大級|オンラインヨガ|ライブレッスン|双方向|100種類以上|インストラクター,https://www.soelu.com/|https://www.soelu.com/img/common/logo.png,2026-03-24,採用
torcia,https://online.tipness.co.jp/,https://online.tipness.co.jp/imgs/logo_sp.svg,https://online.tipness.co.jp/,header,header_img,オンラインフィットネス torcia（トルチャ）,自宅で手軽に始められるオンラインフィットネス『torcia（トルチャ）』ヨガやピラティスなど多彩なレッスンを都度払い220円(税込)から受講可能。まずは無料会員登録でお試しください！,ティップネスが提供するオンラインフィットネスサービス。ヨガ・ピラティスなど多彩なレッスンを都度払い220円（税込）から自宅で受講可能。なお2026年3月31日にライブ配信終了予定。,自宅|オンラインフィットネス|ヨガ|ピラティス|都度払い|ティップネス|無料会員登録,https://online.tipness.co.jp/|https://online.tipness.co.jp/imgs/logo_sp.svg|https://online.tipness.co.jp/about/index.html,2026-03-24,採用
UCHIYOGA+,https://yoga-lava.com/uchiyoga/,https://yoga-lava.com/uchiyoga/images/logo.png,https://yoga-lava.com/uchiyoga/,header,header_img,context unavailable（alt属性なし。<header>内<p class='logo'>内に配置。画像サイズ1000×130px）,LAVAの高品質なヨガを いつでも、どこでも,ホットヨガスタジオLAVAが提供するオンラインヨガサービス。LAVAが監修した高品質なプログラムをいつでもどこでも自宅で受講できる。,LAVAオンライン|高品質ヨガ|いつでもどこでも|お家でヨガ|ライブレッスン|動画配信,https://yoga-lava.com/uchiyoga/|https://yoga-lava.com/uchiyoga/images/logo.png,2026-03-24,採用
yoggy air,https://air.studio-yoggy.com/,https://air.studio-yoggy.com/assets/202202renewal/assets/img/common/logo_yoggy-air.svg,https://air.studio-yoggy.com/,header,header_img,yoggy air,"yoggy airは、ヨガ、ピラティス、瞑想、ライフデザイン、セルフディスカバリーなど多種多様なジャンルのスペシャリストが「心地よい暮らし」を提案するオンラインウェルビーイングコミュニティです。",2004年創業のスタジオ・ヨギーが展開するオンラインウェルビーイングコミュニティ。ヨガ・ピラティス・瞑想・ライフデザインなど多ジャンルのスペシャリストが「心地よい暮らし」を提案する。,ウェルビーイング|心地よい暮らし|オンラインコミュニティ|ヨガ|ピラティス|瞑想|ライフデザイン|スタジオ・ヨギー,https://air.studio-yoggy.com/|https://air.studio-yoggy.com/assets/202202renewal/assets/img/common/logo_yoggy-air.svg,2026-03-24,採用
UTL YOGA ONLINE,https://yogahodai.underthelight.jp/,https://underthelight.jp/cdn/shop/files/UTL20th_logo_baf539bf-76ef-4aae-ae5c-254f62bf579a.png?v=1759474112,https://underthelight.jp/pages/online,brand_page,brand_page,アンダーザライト ヨガスクール（underthelight.jp/pages/online ヘッダーロゴ。同ページog:title=ヨガ専門スクールの本格オンラインヨガ「UTL YOGA ONLINE」）,"UTL YOGA ONLINEは、サブスク(月額・定額制）オンラインヨガサービス。国内外の有名講師50名以上が毎日幅広いクラスをライブ配信によって指導します。月200を超えるクラスがどこでも受け放題。ヨガ初心者からヨガインストラクターまで、全てのヨガ愛好者におすすめします。",日本最大級ヨガスクール「アンダーザライト（UTL）」が提供する月額制オンラインヨガサービス。国内外50名以上の有名講師によるライブ・動画クラスが月200本以上受け放題。,サブスク|月額定額制|ライブ配信|見放題|国内外講師|ヨガスクール|アンダーザライト|いつでもどこでも,https://yogahodai.underthelight.jp/|https://underthelight.jp/pages/online|https://underthelight.jp/cdn/shop/files/UTL20th_logo_baf539bf-76ef-4aae-ae5c-254f62bf579a.png?v=1759474112,2026-03-24,採用
クラムる,https://cramuru.zenplace.co.jp/,https://cramuru.zenplace.co.jp/_next/image?url=%2Fimages%2Fcramuru%2Flogo-400.png&w=3840&q=75,https://cramuru.zenplace.co.jp/,header,header_img,zen place online クラムる,クラムるは短時間でも効果が出るように、エクササイズが厳選されています。お仕事前や休憩中など、ちょっとしたスキマ時間にできるから、無理なく続けられます。,zen placeが提供する15分完結型オンラインフィットネス。ヨガ・ピラティスの本質を短時間に凝縮し毎日のスキマ時間で無理なく継続できる設計。,15分|毎日続ける|スキマ時間|ヨガ|ピラティス|zen place|オンラインフィットネス|短時間効果,https://cramuru.zenplace.co.jp/|https://cramuru.zenplace.co.jp/_next/image?url=%2Fimages%2Fcramuru%2Flogo-400.png&w=3840&q=75,2026-03-24,採用
PILATES@home,https://workoutcommunity.jp/online/,https://workoutcommunity.jp/wp-content/uploads/2023/05/pilates_logo.svg,https://workoutcommunity.jp/online/,brand_page,brand_page,context unavailable（alt属性なし。サービス紹介ページのコンテンツ内に配置。サイズ300×66px）,"LAGREE/PILATES@homeは、ラグリーフィットネスを中心に、世界中どこからでも受講可能なオンラインフィットネススタジオです。",WORKOUT COMMUNITYが提供するオンラインフィットネススタジオ。ラグリーフィットネスを中心に300本以上のビデオレッスンを24時間365日配信し自宅で効率的なボディメイクを実現する。,ラグリーフィットネス|オンラインフィットネス|24時間365日|ビデオレッスン|ボディメイク|世界中どこでも|300本以上,https://workoutcommunity.jp/online/|https://workoutcommunity.jp/wp-content/uploads/2023/05/pilates_logo.svg,2026-03-24,採用
